gid	parA_rep1	parA_rep2	parA_rep3	parA_rep4	parB_rep1	parB_rep2	parB_rep3	hybA_rep1	hybA_rep2	hybA_rep3	hybB_rep1	hybB_rep2	hybB_rep3
Zm00001d001800	147	163	162	243	106	105	112	50	39	62	27	41	32
Zm00001d001848	963	872	1249	1657	661	2081	2053	259	228	218	309	299	253
Zm00001d002390	1012	981	1067	1109	1411	2075	2003	408	420	366	526	485	419
Zm00001d002423	829	845	921	1088	348	506	479	131	176	126	114	127	95
Zm00001d002617	809	800	865	961	547	737	951	42	28	31	41	30	31
Zm00001d002644	127	144	130	145	58	131	85	53	50	59	52	44	46
Zm00001d002853	165	170	176	208	145	276	173	2	1	1	3	1	2
Zm00001d003005	61	47	32	11	49	14	27	9	9	1	0	1	3
Zm00001d003112	2847	2434	2723	4108	2920	3736	3260	771	914	782	729	670	652
Zm00001d003400	16	9	3	2	11	2	2	4	3	5	1	2	0
